,searched keyword,title,link
0,ACN 2020/06/11,Accenture Plc (NYSE:ACN) crossed MACD bearish signal line on,https://news.google.com/articles/CBMid2h0dHBzOi8vc3RvY2ttYXJrZXRkYWlseS5jby8yMDIwLzA2LzEzL2FjY2VudHVyZS1wbGMtbnlzZWFjbi1jcm9zc2VkLW1hY2QtYmVhcmlzaC1zaWduYWwtbGluZS1vbi10aHVyc2RheS1qdW5lLTExLTIwMjAv0gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
1,ACN 2020/06/11,"Japan Corporate News - Bigtincan(R) Announces Spring Release 2020 to Empower Remote Workers With New Capabilities for Document Automation, Internal Communication, and Sales Readiness 2.0.",https://news.google.com/articles/CBMixQFodHRwOi8vd3d3Lml0bmV3c29ubGluZS5jb20vamNuL0JpZ3RpbmNhblItQW5ub3VuY2VzLVNwcmluZy1SZWxlYXNlLTIwMjAtdG8tRW1wb3dlci1SZW1vdGUtV29ya2Vycy1XaXRoLU5ldy1DYXBhYmlsaXRpZXMtZm9yLURvY3VtZW50LUF1dG9tYXRpb24tSW50ZXJuYWwtQ29tbXVuaWNhdGlvbi1hbmQtU2FsZXMtUmVhZGluZXNzLTIuMC4vMjIxOdIBAA?hl=en-GB&gl=GB&ceid=GB%3Aen
2,ACN 2020/06/11,"TOPIC PAGE: Coronavirus, oil price crash – impact on chemicals",https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmljaXMuY29tL2V4cGxvcmUvcmVzb3VyY2VzL25ld3MvMjAyMC8wNi8yNS8xMDUxNDAzOC90b3BpYy1wYWdlLWNvcm9uYXZpcnVzLW9pbC1wcmljZS1jcmFzaC1pbXBhY3Qtb24tY2hlbWljYWxz0gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
3,ACN 2020/06/11,The first A+H+G insurance company is ready to embark on its journey: CPIC discloses intention to float at the London Stock Exchange,https://news.google.com/articles/CBMifmh0dHBzOi8vc3RvY2tob3VzZS5jb20vbmV3cy9wcmVzcy1yZWxlYXNlcy8yMDIwLzA2LzExL3RoZS1maXJzdC1hLWgtZy1pbnN1cmFuY2UtY29tcGFueS1pcy1yZWFkeS10by1lbWJhcmstb24taXRzLWpvdXJuZXktY3BpY9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen
4,ACN 2020/06/11,"CropLife Asia Commends UN Call for Action to Avoid ""Global Food Emergency"" & Rallies Regional Stakeholders",https://news.google.com/articles/CBMiT2h0dHBzOi8vYXUuZmluYW5jZS55YWhvby5jb20vbmV3cy9jcm9wbGlmZS1hc2lhLWNvbW1lbmRzLXVuLWNhbGwtMTEwMDAwMTIxLmh0bWzSAVdodHRwczovL2F1LmZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jcm9wbGlmZS1hc2lhLWNvbW1lbmRzLXVuLWNhbGwtMTEwMDAwMTIxLmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
5,ADBE 2020/06/11,How Cloud Solutions Brought Adobe to the Top,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA2LzI2L2hvdy1jbG91ZC1zb2x1dGlvbnMtYnJvdWdodC1hZG9iZS10by10aGUtdG9wLmFzcHjSAV9odHRwczovL3d3dy5mb29sLmNvbS9hbXAvaW52ZXN0aW5nLzIwMjAvMDYvMjYvaG93LWNsb3VkLXNvbHV0aW9ucy1icm91Z2h0LWFkb2JlLXRvLXRoZS10b3AuYXNweA?hl=en-GB&gl=GB&ceid=GB%3Aen
6,ADBE 2020/06/11,Adobe stock rises as coronavirus work-from-home shift boosts subscription revenue,https://news.google.com/articles/CAIiEEKuzfAQnE2K_QVAfbzLPPMqGAgEKg8IACoHCAowjujJATDXzBUwiJS0AQ?hl=en-GB&gl=GB&ceid=GB%3Aen
7,ADBE 2020/06/11,Edited Transcript of ADBE earnings conference call or presentation 11-Jun-20 9:00pm GMT,https://news.google.com/articles/CBMiWGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9lZGl0ZWQtdHJhbnNjcmlwdC1hZGJlLWVhcm5pbmdzLWNvbmZlcmVuY2UtMDMzNDIzNzE4Lmh0bWzSAWBodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9lZGl0ZWQtdHJhbnNjcmlwdC1hZGJlLWVhcm5pbmdzLWNvbmZlcmVuY2UtMDMzNDIzNzE4Lmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
8,ADBE 2020/06/11,"7 Stocks To Watch For June 11, 2020",https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzL2Vhcm5pbmdzLzIwLzA2LzE2MjI5NzQ0Lzctc3RvY2tzLXRvLXdhdGNoLWZvci1qdW5lLTExLTIwMjDSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
9,ADBE 2020/06/11,S&P 500 Earnings Preview - Adobe Headlines Thursday's Earnings Results,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmZ4ZW1waXJlLmNvbS9mb3JlY2FzdHMvYXJ0aWNsZS9zcC01MDAtZWFybmluZ3MtcHJldmlldy1hZG9iZS1oZWFkbGluZXMtdGh1cnNkYXlzLWVhcm5pbmdzLXJlc3VsdHMtNjU0NjE40gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
10,AMGN 2020/06/11,July 31st Options Now Available For Amgen (AMGN),https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvanVseS0zMXN0LW9wdGlvbnMtbm93LWF2YWlsYWJsZS1mb3ItYW1nZW4tYW1nbi0yMDIwLTA2LTEx0gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
11,AMGN 2020/06/11,"Top Stock Reports for Facebook, Adobe & Amgen",https://news.google.com/articles/CAIiEBJ57OvJMDtqlh0d2hBJK7oqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
12,AMGN 2020/06/11,Biotech ETFs: Appraising The Pipelines,https://news.google.com/articles/CAIiEJoM21rorjgZdvcu_4E1LFEqMwgEKioIACIQwNee9Ospd3TjgIrA_tgMKioUCAoiEMDXnvTrKXd044CKwP7YDCowoJDdBg?hl=en-GB&gl=GB&ceid=GB%3Aen
13,AMGN 2020/06/11,"The Extreme Risks of Trading Your Own Retirement Assets - June 22, 2020",https://news.google.com/articles/CAIiEMYqLT2TDFQX7KQRQ1u7UOoqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
14,AMGN 2020/06/11,"The Zacks Analyst Blog Highlights: Tesla, PayPal, Autodesk, Cadence and Splunk",https://news.google.com/articles/CAIiEE9WmesT5qGYNfcYywFumMQqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-GB&gl=GB&ceid=GB%3Aen
