,searched keyword,title,link
0,ADBE 2020/06/11,How Cloud Solutions Brought Adobe to the Top,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA2LzI2L2hvdy1jbG91ZC1zb2x1dGlvbnMtYnJvdWdodC1hZG9iZS10by10aGUtdG9wLmFzcHjSAV9odHRwczovL3d3dy5mb29sLmNvbS9hbXAvaW52ZXN0aW5nLzIwMjAvMDYvMjYvaG93LWNsb3VkLXNvbHV0aW9ucy1icm91Z2h0LWFkb2JlLXRvLXRoZS10b3AuYXNweA?hl=en-GB&gl=GB&ceid=GB%3Aen
1,ADBE 2020/06/11,Adobe stock rises as coronavirus work-from-home shift boosts subscription revenue,https://news.google.com/articles/CAIiEEKuzfAQnE2K_QVAfbzLPPMqGAgEKg8IACoHCAowjujJATDXzBUwiJS0AQ?hl=en-GB&gl=GB&ceid=GB%3Aen
2,ADBE 2020/06/11,"7 Stocks To Watch For June 11, 2020",https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzL2Vhcm5pbmdzLzIwLzA2LzE2MjI5NzQ0Lzctc3RvY2tzLXRvLXdhdGNoLWZvci1qdW5lLTExLTIwMjDSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
3,ADBE 2020/06/11,Edited Transcript of ADBE earnings conference call or presentation 11-Jun-20 9:00pm GMT,https://news.google.com/articles/CBMiWGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9lZGl0ZWQtdHJhbnNjcmlwdC1hZGJlLWVhcm5pbmdzLWNvbmZlcmVuY2UtMDMzNDIzNzE4Lmh0bWzSAWBodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9lZGl0ZWQtdHJhbnNjcmlwdC1hZGJlLWVhcm5pbmdzLWNvbmZlcmVuY2UtMDMzNDIzNzE4Lmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
4,ADBE 2020/06/11,S&P 500 Earnings Preview - Adobe Headlines Thursday's Earnings Results,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmZ4ZW1waXJlLmNvbS9mb3JlY2FzdHMvYXJ0aWNsZS9zcC01MDAtZWFybmluZ3MtcHJldmlldy1hZG9iZS1oZWFkbGluZXMtdGh1cnNkYXlzLWVhcm5pbmdzLXJlc3VsdHMtNjU0NjE40gEA?hl=en-GB&gl=GB&ceid=GB%3Aen
5,AMZN 2020/06/11,Better Buy: Amazon.com vs. Walmart,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA2LzExL2JldHRlci1idXktYW1hem9uY29tLXZzLXdhbG1hcnQuYXNweNIBUmh0dHBzOi8vd3d3LmZvb2wuY29tL2FtcC9pbnZlc3RpbmcvMjAyMC8wNi8xMS9iZXR0ZXItYnV5LWFtYXpvbmNvbS12cy13YWxtYXJ0LmFzcHg?hl=en-GB&gl=GB&ceid=GB%3Aen
6,AMZN 2020/06/11,Amazon to reportedly face antitrust charges in EU over its treatment of third-party sellers,https://news.google.com/articles/CAIiELZlMcewNCmciedK7txEfO8qGQgEKhAIACoHCAow2Nb3CjDivdcCMMPf7gU?hl=en-GB&gl=GB&ceid=GB%3Aen
7,AMZN 2020/06/11,"Dow rises more than 400 points, but Wall Street clinches biggest weekly loss since March",https://news.google.com/articles/CAIiEADs7woBVpsTxvhp15Jhy3EqGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-GB&gl=GB&ceid=GB%3Aen
8,AMZN 2020/06/11,Ex Amazon VP who called company 'chickens--t' says it should be split up,https://news.google.com/articles/CAIiECZ6ylkhPOezDFXuz2iQ13YqGAgEKg8IACoHCAowhK-LAjD4ySww-9S0BQ?hl=en-GB&gl=GB&ceid=GB%3Aen
9,AMZN 2020/06/11,"Stocks making the biggest moves in the premarket: Target, Regeneron, Amazon, Eli Lilly & more",https://news.google.com/articles/CAIiEHgL8BRnhbtm7LgBzCrJBHMqGQgEKhAIACoHCAow2Nb3CjDivdcCMM_rngY?hl=en-GB&gl=GB&ceid=GB%3Aen
10,LLY 2020/06/11,"Stocks making the biggest moves in the premarket: Target, Regeneron, Amazon, Eli Lilly & more",https://news.google.com/articles/CAIiEHgL8BRnhbtm7LgBzCrJBHMqGQgEKhAIACoHCAow2Nb3CjDivdcCMM_rngY?hl=en-GB&gl=GB&ceid=GB%3Aen
11,LLY 2020/06/11,"Company News for Jun 11, 2020",https://news.google.com/articles/CBMiRmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jb21wYW55LW5ld3MtanVuLTExLTIwMjAtMTMzNTAxNjU2Lmh0bWzSAU5odHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jb21wYW55LW5ld3MtanVuLTExLTIwMjAtMTMzNTAxNjU2Lmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
12,LLY 2020/06/11,What to watch today: Dow set to sink on concerns about a second wave of coronavirus in U.S.,https://news.google.com/articles/CAIiEHktJmKSV4bSzuGlBk6B9BkqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_d7gU?hl=en-GB&gl=GB&ceid=GB%3Aen
13,LLY 2020/06/11,"AbbVie Inks Deal With Genmab, Announces ADC Candidate Data",https://news.google.com/articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hYmJ2aWUtaW5rcy1kZWFsLWdlbm1hYi1hbm5vdW5jZXMtMTQ1NjAyMjA4Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9hYmJ2aWUtaW5rcy1kZWFsLWdlbm1hYi1hbm5vdW5jZXMtMTQ1NjAyMjA4Lmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen
14,LLY 2020/06/11,Regeneron Begins Human Trials of a Potential COVID-19 Treatment,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA2LzExL3JlZ2VuZXJvbi1iZWdpbnMtaHVtYW4tdHJpYWxzLW9mLWEtcG90ZW50aWFsLWNvdmlkLmFzcHjSAWVodHRwczovL3d3dy5mb29sLmNvbS9hbXAvaW52ZXN0aW5nLzIwMjAvMDYvMTEvcmVnZW5lcm9uLWJlZ2lucy1odW1hbi10cmlhbHMtb2YtYS1wb3RlbnRpYWwtY292aWQuYXNweA?hl=en-GB&gl=GB&ceid=GB%3Aen
15,NFLX 2020/06/26,"Sherlock Holmes is too nice in upcoming Netflix adaptation, lawsuit argues",https://news.google.com/articles/CAIiEPguVv23a-tfcqHZWECD8PgqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-GB&gl=GB&ceid=GB%3Aen
16,NFLX 2020/06/26,"New Releases on Netflix & Top 10s: June 26th, 2020",https://news.google.com/articles/CAIiEAbjrzXAmqG1HdGjEBpnDKoqMwgEKioIACIQ7eLmlayILaWYM82KlExkCyoUCAoiEO3i5pWsiC2lmDPNipRMZAsw7ofDBg?hl=en-GB&gl=GB&ceid=GB%3Aen
17,NFLX 2020/06/26,"Sorry, Netflix, You Missed Your Marketing Move 06/26/2020",https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lm1lZGlhcG9zdC5jb20vcHVibGljYXRpb25zL2FydGljbGUvMzUzMDY1L3NvcnJ5LW5ldGZsaXgteW91LW1pc3NlZC15b3VyLW1hcmtldGluZy1tb3ZlLmh0bWzSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen
18,NFLX 2020/06/26,TBI Weekly: Will China's media giants push Netflix out of Asia-Pacific?,https://news.google.com/articles/CBMiZmh0dHBzOi8vdGJpdmlzaW9uLmNvbS8yMDIwLzA2LzI2L3RiaS13ZWVrbHktd2lsbC1jaGluYXMtbWVkaWEtZ2lhbnRzLXB1c2gtbmV0ZmxpeC1vdXQtb2YtYXNpYS1wYWNpZmljL9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen
19,NFLX 2020/06/26,"What’s New on Netflix Canada This Week: June 26th, 2020",https://news.google.com/articles/CAIiEHq8fM9_lc7JSzq107azeIYqMwgEKioIACIQ7eLmlayILaWYM82KlExkCyoUCAoiEO3i5pWsiC2lmDPNipRMZAsw-4fDBg?hl=en-GB&gl=GB&ceid=GB%3Aen
20,PYPL 2020/06/11,"PayPal Holdings, Inc. (PYPL) Presents at RBC Financial Technology Conference (Transcript)",https://news.google.com/articles/CAIiEE8q7sE__XMcYkH6-6khO3YqFggEKg0IACoGCAowkqEGMJBZMNL5vAY?hl=en-GB&gl=GB&ceid=GB%3Aen
21,PYPL 2020/06/11,"PayPal, Apple and YouTube collectively pledge $730M to racial justice and equity efforts",https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5qb3NlL25ld3MvMjAyMC8wNi8xMS9wYXlwYWwtYXBwbGUteW91dHViZS1yYWNpYWwtanVzdGljZS1wbGVkZ2VzLmh0bWzSAWhodHRwczovL3d3dy5iaXpqb3VybmFscy5jb20vc2Fuam9zZS9uZXdzLzIwMjAvMDYvMTEvcGF5cGFsLWFwcGxlLXlvdXR1YmUtcmFjaWFsLWp1c3RpY2UtcGxlZGdlcy5hbXAuaHRtbA?hl=en-GB&gl=GB&ceid=GB%3Aen
22,PYPL 2020/06/11,PayPal Holdings Inc. (PYPL) is predicted to post EPS of 0.87 in the upcoming quarter : This Stock is Ticking Every Box for Top Investors,https://news.google.com/articles/CBMipgFodHRwczovL25ld3NkYWVtb24uY29tLzIwMjAvMDYvMTIvcGF5cGFsLWhvbGRpbmdzLWluYy1weXBsLWlzLXByZWRpY3RlZC10by1wb3N0LWVwcy1vZi0wLTg3LWluLXRoZS11cGNvbWluZy1xdWFydGVyLXRoaXMtc3RvY2staXMtdGlja2luZy1ldmVyeS1ib3gtZm9yLXRvcC1pbnZlc3RvcnMv0gGqAWh0dHBzOi8vbmV3c2RhZW1vbi5jb20vMjAyMC8wNi8xMi9wYXlwYWwtaG9sZGluZ3MtaW5jLXB5cGwtaXMtcHJlZGljdGVkLXRvLXBvc3QtZXBzLW9mLTAtODctaW4tdGhlLXVwY29taW5nLXF1YXJ0ZXItdGhpcy1zdG9jay1pcy10aWNraW5nLWV2ZXJ5LWJveC1mb3ItdG9wLWludmVzdG9ycy8_YW1w?hl=en-GB&gl=GB&ceid=GB%3Aen
23,PYPL 2020/06/11,"Noteworthy Thursday Option Activity: UBER, PYPL, ADSK",https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbm90ZXdvcnRoeS10aHVyc2RheS1vcHRpb24tYWN0aXZpdHklM0EtdWJlci1weXBsLWFkc2stMjAyMC0wNi0xMdIBZGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbm90ZXdvcnRoeS10aHVyc2RheS1vcHRpb24tYWN0aXZpdHklM0EtdWJlci1weXBsLWFkc2stMjAyMC0wNi0xMT9hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen
24,PYPL 2020/06/11,PayPal Commits $530 Mln To Support Black And Minority-owned Businesses In U.S.,https://news.google.com/articles/CBMie2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcGF5cGFsLWNvbW1pdHMtJTI0NTMwLW1sbi10by1zdXBwb3J0LWJsYWNrLWFuZC1taW5vcml0eS1vd25lZC1idXNpbmVzc2VzLWluLXUucy4tMjAyMC0wNi0xMdIBf2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcGF5cGFsLWNvbW1pdHMtJTI0NTMwLW1sbi10by1zdXBwb3J0LWJsYWNrLWFuZC1taW5vcml0eS1vd25lZC1idXNpbmVzc2VzLWluLXUucy4tMjAyMC0wNi0xMT9hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen
